"N° CAS";"NOM SA";"CLASSEMENT RÉFÉRENCE";"CLASSEMENT DATE";"CLASSEMENT CATÉGORIE DANGER";"CLASSEMENT CODE H";"CLASSEMENT MENTION DANGER";"FACTEUR M VALEUR";"FACTEUR M ORIGINE";"FACTEUR M DATE"
"173584-44-6";"indoxacarbe";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
"173584-44-6";"indoxacarbe";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Sensibilisation cutanée, catégorie 1B";"H317";"Peut provoquer une allergie cutanée";;"";
"173584-44-6";"indoxacarbe";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";02/10/13
"173584-44-6";"indoxacarbe";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1";"H372";"Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"144550-36-7";"iodosulfuron";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"ANSES";26/09/17
"144550-36-7";"iodosulfuron";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"ANSES";26/09/17
"125225-28-7";"ipconazole";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"ANSES";19/07/13
"125225-28-7";"ipconazole";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"125225-28-7";"ipconazole";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"125225-28-7";"ipconazole";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Toxicité pour la reproduction, catégorie 1B(D)";"H360D";"Peut nuire au foetus";;"";
"140923-17-7";"iprovalicarbe";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"875915-78-9";"isofétamide";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";14/03/17;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"881685-58-1";"isopyrazam";"Classement adapté par ANSES selon les règles de traduction du règlement CLP";16/02/21;"Sensibilisation cutanée, catégorie 1B";"H317";"Peut provoquer une allergie cutanée";;"";
"881685-58-1";"isopyrazam";"Classement adapté par ANSES selon les règles de traduction du règlement CLP";16/02/21;"Toxicité pour la reproduction, catégorie 1B(D)";"H360D";"Peut nuire au foetus";;"";
"881685-58-1";"isopyrazam";"Classement adapté par ANSES selon les règles de traduction du règlement CLP";16/02/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";19/12/13
"881685-58-1";"isopyrazam";"Classement adapté par ANSES selon les règles de traduction du règlement CLP";16/02/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"ANSES";19/12/13
"881685-58-1";"isopyrazam";"Classement adapté par ANSES selon les règles de traduction du règlement CLP";16/02/21;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"82558-50-7";"isoxaben";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 4";"H413";"Peut être nocif à long terme pour les organismes aquatiques";;"";
"141112-29-0";"isoxaflutole";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"141112-29-0";"isoxaflutole";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"UE";17/06/19
"141112-29-0";"isoxaflutole";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";17/06/19
"1332-58-7";"kaolin";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Sans classement";"Sans classement";"Sans classement";;"";
"61790-53-2";"kieselgur (terre à diatomées)";"Sans classement toxicologique";01/04/13;"Sans classement";"Sans classement";"Sans classement";;"";
"143390-89-0";"kresoxim methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"";
"143390-89-0";"kresoxim methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"143390-89-0";"kresoxim methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"";
"91465-08-6";"lambda cyhalothrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10000;"UE";10/08/09
"91465-08-6";"lambda cyhalothrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie cutanée), catégorie 4";"H312";"Nocif par contact cutané";;"";
"91465-08-6";"lambda cyhalothrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par inhalation), catégorie 2";"H330";"Mortel par inhalation";;"";
"91465-08-6";"lambda cyhalothrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10000;"UE";10/08/09
"91465-08-6";"lambda cyhalothrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"9008-22-4";"laminarine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";19/02/08;"Sans classement";"Sans classement";"Sans classement";;"";
"2164-08-1 ";"lenacile";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";24/07/15
"2164-08-1 ";"lenacile";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";24/07/15
"2164-08-1 ";"lenacile";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";11/03/21
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";11/03/21
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité pour la reproduction, catégorie 1B(D)";"H360D";"Peut nuire au foetus";;"";
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"173662-97-0";"mandestrobine";"Règlement (UE) No 2020/217 (14e ATP au Règlement No 1272/2008)";04/10/20;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";18/12/20
"173662-97-0";"mandestrobine";"Règlement (UE) No 2020/217 (14e ATP au Règlement No 1272/2008)";04/10/20;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";18/12/20
"374726-62-2";"mandipropamide";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";24/07/15
"374726-62-2";"mandipropamide";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"UE";24/07/15
"94-74-6";"MCPA";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";18/03/14
"94-74-6";"MCPA";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";18/03/14
"94-74-6";"MCPA";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"94-74-6";"MCPA";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Lésions oculaires graves, catégorie 1";"H318";"Provoque des lésions oculaires graves";;"";
"94-74-6";"MCPA";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"94-81-5";"MCPB";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";;"";
"94-81-5";"MCPB";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"16484-77-8";"mecoprop-P";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Lésions oculaires graves, catégorie 1";"H318";"Provoque des lésions oculaires graves";;"";
"16484-77-8";"mecoprop-P";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"16484-77-8";"mecoprop-P";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";11/03/21
"16484-77-8";"mecoprop-P";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";11/03/21
"135590-91-9";"mefenpyr diethyl";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";19/03/13;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"135590-91-9";"mefenpyr diethyl";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";19/03/13;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"1417782-03-6";"méfentrifluconazole";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"1417782-03-6";"méfentrifluconazole";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";23/04/19
"1417782-03-6";"méfentrifluconazole";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";23/04/19
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";"Mélange de terpénoïdes QRD 460";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/19;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";"Mélange de terpénoïdes QRD 460";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/19;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";23/10/18
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";"Mélange de terpénoïdes QRD 460";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/19;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";23/10/18
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";"Mélange de terpénoïdes QRD 460";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/19;"Danger par aspiration, catégorie 1";"H304";"Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires";;"";
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";"Mélange de terpénoïdes QRD 460";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/19;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"110235-47-7";"mepanipyrim";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";20/01/15
"110235-47-7";"mepanipyrim";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";20/01/15
"110235-47-7";"mepanipyrim";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"24307-26-4";"mepiquat-chlorure";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"24307-26-4";"mepiquat-chlorure";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 3";"H412";"Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"6119-92-2";"meptyldinocap";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/01/18;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"ANSES";29/09/15
"6119-92-2";"meptyldinocap";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/01/18;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"ANSES";29/09/15
"6119-92-2";"meptyldinocap";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/01/18;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"6119-92-2";"meptyldinocap";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/01/18;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
"208465-21-8";"mesosulfuron methyl";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";04/10/18
"208465-21-8";"mesosulfuron methyl";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"UE";04/10/18
"104206-82-8";"mesotrione";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";19/05/20
"104206-82-8";"mesotrione";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";19/05/20
"104206-82-8";"mesotrione";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"104206-82-8";"mesotrione";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"70630-17-0";"metalaxyl-M";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"70630-17-0";"metalaxyl-M";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Lésions oculaires graves, catégorie 1";"H318";"Provoque des lésions oculaires graves";;"";
"108-62-3 (tetramer)";"metaldehyde";"Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008)";04/10/19;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"108-62-3 (tetramer)";"metaldehyde";"Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008)";04/10/19;"Dangers pour le milieu aquatique - Danger chronique, catégorie 3";"H412";"Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"108-62-3 (tetramer)";"metaldehyde";"Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008)";04/10/19;"Matières solides inflammables, catégorie 2";"H228";"Matière solide inflammable";;"";
"108-62-3 (tetramer)";"metaldehyde";"Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008)";04/10/19;"Toxicité pour la reproduction, catégorie 2(f)";"H361f";"Susceptible de nuire à la fertilité ";;"";
"41394-05-2";"metamitrone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";19/06/12
"41394-05-2";"metamitrone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"67129-08-2";"metazachlore";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"67129-08-2";"metazachlore";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";10/07/12
"67129-08-2";"metazachlore";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"UE";10/07/12
"67129-08-2";"metazachlore";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Sensibilisation cutanée, catégorie 1B";"H317";"Peut provoquer une allergie cutanée";;"";
"125116-23-6 (unstated stereochemistry)";"metconazole";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"125116-23-6 (unstated stereochemistry)";"metconazole";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"125116-23-6 (unstated stereochemistry)";"metconazole";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"161050-58-4";"methoxyfenozide";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";02/04/19
"9006-42-2";"metiram-zinc";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"9006-42-2";"metiram-zinc";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";19/03/13
"9006-42-2";"metiram-zinc";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"ANSES";19/03/13
"3060-89-7";"metobromuron";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/05/12;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"3060-89-7";"metobromuron";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/05/12;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"3060-89-7";"metobromuron";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/05/12;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"3060-89-7";"metobromuron";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/05/12;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";14/05/13
"3060-89-7";"metobromuron";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/05/12;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"3060-89-7";"metobromuron";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";30/05/12;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";14/05/13
"139528-85-1";"metosulam";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"139528-85-1";"metosulam";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"ANSES";24/09/13
"139528-85-1";"metosulam";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"ANSES";24/09/13
"139528-85-1";"metosulam";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"220899-03-6";"metrafenone";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"220899-03-6";"metrafenone";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";;"";
"21087-64-9";"metribuzine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";10/08/09
"21087-64-9";"metribuzine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"21087-64-9";"metribuzine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";10/08/09
"74223-64-6";"metsulfuron methyle";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"ANSES";03/01/13
"74223-64-6";"metsulfuron methyle";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"ANSES";03/01/13
