"Numéro CAS";"Nom SA";"Propriété";"Valeur";"Unité";"Température";"PH";"Observation"
"163515-14-8";"Dimethenamid-P";"pka";"";"";;"";""
"163515-14-8";"Dimethenamid-P";"Pression de vapeur";"2.51*10^-3";"Pa";25;"";""
"163515-14-8";"Dimethenamid-P";"Pression de vapeur";"3.47*10^-3";"Pa";20;"";""
"163515-14-8";"Dimethenamid-P";"Solubilité dans l'eau";"1499";"mg/L";25;"6,16";""
"110488-70-5";"dimethomorphe";"Constante de Henry";"5.4 10-6";"Pa.m3/mol";;"";"ISOMÈRE E"
"110488-70-5";"dimethomorphe";"Constante de Henry";"2.5 10-5";"Pa.m3/mol";;"";"ISOMÈRE Z"
"110488-70-5";"dimethomorphe";"Log P";"2,63";"";20;"";"ISOMERE E"
"110488-70-5";"dimethomorphe";"Log P";"2,73";"";20;"";"ISOMERE Z"
"110488-70-5";"dimethomorphe";"pka";"-1,3";"";;"";""
"110488-70-5";"dimethomorphe";"Pression de vapeur";"9.7 10-7";"Pa";;"";"ISOMÈRE E"
"110488-70-5";"dimethomorphe";"Pression de vapeur";"1 10-6";"Pa";;"";"ISOMÈRE Z"
"110488-70-5";"dimethomorphe";"Solubilité dans l'eau";"0.0107";"g/L";20;"";"ISOMERE Z"
"110488-70-5";"dimethomorphe";"Solubilité dans l'eau";"0.0472";"g/L";20;"";"ISOMERE E"
"149961-52-4";"dimoxystrobine";"Constante de Henry";"4.554 e-8";"Pa.m3/mol";;"";""
"149961-52-4";"dimoxystrobine";"Log P";"3,59";"";22;"6,5";""
"149961-52-4";"dimoxystrobine";"pka";"";"";;"";""
"149961-52-4";"dimoxystrobine";"Pression de vapeur";"6.0";"nPa";20;"";""
"149961-52-4";"dimoxystrobine";"Solubilité dans l'eau";"4.3";"mg/L";20;"5,7";""
"149961-52-4";"dimoxystrobine";"Solubilité dans l'eau";"3.5";"mg/L";20;"8";""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"Constante de Henry";"< 1.90";"Pa.m3/mol";;"";""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"Log P";"-4";"";20;"";""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"pka";"6,59";"";;"";""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"pka";"2";"";;"";""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"Pression de vapeur";"7.54 x 10^3";"Pa";20;"";""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"Solubilité dans l'eau";"";"";20;"2 à 9";""
"3347-22-6";"dithianon";"Constante de Henry";"1,347x10^-7";"Pa.m3/mol";20;"";""
"3347-22-6";"dithianon";"Log P";"3,2";"";20;"2";""
"3347-22-6";"dithianon";"pka";"";"";;"";""
"3347-22-6";"dithianon";"Pression de vapeur";"< 0,1";"nPa";25;"";""
"3347-22-6";"dithianon";"Solubilité dans l'eau";"0,38";"mg/L";20;"7";""
"3347-22-6";"dithianon";"Solubilité dans l'eau";"0,31";"mg/L";20;"4";""
"3347-22-6";"dithianon";"Solubilité dans l'eau";"0,36";"mg/L";20;"9";""
"2439-10-3 ";"doguadine";"Constante de Henry";"9.1 e-6";"Pa.m3/mol";;"";""
"2439-10-3 ";"doguadine";"Log P";"0,76";"";;"";""
"2439-10-3 ";"doguadine";"pka";"9";"";;"";""
"2439-10-3 ";"doguadine";"Pression de vapeur";"<0.01";"mPa";20;"";""
"2439-10-3 ";"doguadine";"Solubilité dans l'eau";"1.04";"g/L";25;"";""
"155569-91-8";"emamectine benzoate";"Constante de Henry";"4.0 10-2";"Pa.m3/mol";;"9";""
"155569-91-8";"emamectine benzoate";"Constante de Henry";"1.7 10-4";"Pa.m3/mol";;"7";""
"155569-91-8";"emamectine benzoate";"Constante de Henry";"1.3 10-5";"Pa.m3/mol";;"5";""
"155569-91-8";"emamectine benzoate";"Log P";"5,9";"";23;"9";""
"155569-91-8";"emamectine benzoate";"Log P";"5";"";23;"7";""
"155569-91-8";"emamectine benzoate";"Log P";"3";"";23;"5";""
"155569-91-8";"emamectine benzoate";"pka";"4,2";"";23;"";""
"155569-91-8";"emamectine benzoate";"pka";"7,7";"";23;"";""
"155569-91-8";"emamectine benzoate";"Pression de vapeur";"4";"µPa";21;"";""
"155569-91-8";"emamectine benzoate";"Solubilité dans l'eau";"0.1";"mg/L";25;"9";""
"155569-91-8";"emamectine benzoate";"Solubilité dans l'eau";"320";"mg/L";25;"5";""
"155569-91-8";"emamectine benzoate";"Solubilité dans l'eau";"24";"mg/L";25;"7";""
"66230-04-4";"esfenvalerate";"Constante de Henry";"4.92 e-4";"Pa.m3/mol";;"";""
"66230-04-4";"esfenvalerate";"Log P";"6,24";"";25;"";""
"66230-04-4";"esfenvalerate";"pka";"";"";;"";""
"66230-04-4";"esfenvalerate";"Pression de vapeur";"1.17 e-9";"Pa";20;"";""
"66230-04-4";"esfenvalerate";"Solubilité dans l'eau";"<1";"ug/L";20;"5,3";""
"16672-87-0";"ethephon";"Constante de Henry";"<1.45 e-7";"Pa.m3/mol";;"";""
"16672-87-0";"ethephon";"Log P";"-0,63";"";20;"2";""
"16672-87-0";"ethephon";"Log P";"-1,89";"";20;"7";""
"16672-87-0";"ethephon";"Log P";"-1,81";"";20;"10";""
"16672-87-0";"ethephon";"pka";"2,82";"";21;"";""
"16672-87-0";"ethephon";"pka";"7,21";"";21;"";""
"16672-87-0";"ethephon";"Pression de vapeur";"<1";"mPa";;"";""
"16672-87-0";"ethephon";"Solubilité dans l'eau";"800";"g/L";20;"4";""
"16672-87-0";"ethephon";"Solubilité dans l'eau";">1000";"g/L";20;"0,2";""
"26225-79-6";"ethofumesate";"Constante de Henry";"3,72x10^-3";"Pa.m3/mol";25;"";""
"26225-79-6";"ethofumesate";"Log P";"2,7";"";25;"6,44";""
"26225-79-6";"ethofumesate";"pka";"";"";;"";""
"26225-79-6";"ethofumesate";"Pression de vapeur";"3,6x10^-4";"Pa";20;"";""
"26225-79-6";"ethofumesate";"Pression de vapeur";"4,0x10^-3";"Pa";40;"";""
"26225-79-6";"ethofumesate";"Pression de vapeur";"6,5x10^-4";"Pa";25;"";""
"26225-79-6";"ethofumesate";"Solubilité dans l'eau";"50";"mg/L";25;"7,7";""
"26225-79-6";"ethofumesate";"Solubilité dans l'eau";"57,83";"mg/L";20;"7";""
"26225-79-6";"ethofumesate";"Solubilité dans l'eau";"58,22";"mg/L";20;"4";""
"26225-79-6";"ethofumesate";"Solubilité dans l'eau";"61,92";"mg/L";20;"9";""
"80844-07-1";"etofenprox";"Constante de Henry";"0.0136";"Pa.m3/mol";25;"";""
"80844-07-1";"etofenprox";"Log P";"6,9";"";20;"";""
"80844-07-1";"etofenprox";"pka";"";"";;"";""
"80844-07-1";"etofenprox";"Pression de vapeur";"8.13 10-7";"Pa";25;"";""
"80844-07-1";"etofenprox";"Solubilité dans l'eau";"0.0225";"mg/L";20;"7";""
"80844-07-1";"etofenprox";"Solubilité dans l'eau";"0.012";"mg/L";20;"9";""
"80844-07-1";"etofenprox";"Solubilité dans l'eau";"0.0052";"mg/L";20;"4";""
"153233-91-1";"etoxazole";"Constante de Henry";"3.6 e-2";"Pa.m3/mol";25;"";""
"153233-91-1";"etoxazole";"Log P";"5,52";"";20;"";""
"153233-91-1";"etoxazole";"pka";"";"";;"";""
"153233-91-1";"etoxazole";"Pression de vapeur";"7.0";"µPa";25;"";""
"153233-91-1";"etoxazole";"Solubilité dans l'eau";"66.9";"ug/L";30;"7";""
"153233-91-1";"etoxazole";"Solubilité dans l'eau";"70.4";"ug/L";20;"7";""
"8000-78-0 ou 8008-99-9";"extrait d'ail";"Log P";"-1,49";"";20;"";""
"8000-78-0 ou 8008-99-9";"extrait d'ail";"Pression de vapeur";"2,18";"mPa";20;"";""
"8000-78-0 ou 8008-99-9";"extrait d'ail";"Solubilité dans l'eau";"1000";"g/L";20;"";""
"131807-57-3";"famoxadone";"Constante de Henry";"4.06*10^-03";"Pa.m3/mol";;"7";""
"131807-57-3";"famoxadone";"Log P";"+4,65";"";20;"7";""
"131807-57-3";"famoxadone";"pka";"";"";;"";""
"131807-57-3";"famoxadone";"Pression de vapeur";"6.4*10^-07";"Pa";20;"";""
"131807-57-3";"famoxadone";"Solubilité dans l'eau";"0,000059";"g/L";20;"7";""
"120928-09-8";"fenazaquin";"Constante de Henry";"5,71*10^-2";"Pa.m3/mol";;"";""
"120928-09-8";"fenazaquin";"Log P";"5,51";"";21;"5,3 à 5,9";""
"120928-09-8";"fenazaquin";"pka";"2,44";"";22;"";""
"120928-09-8";"fenazaquin";"Pression de vapeur";"1,9*10^-5";"Pa";25;"";""
"120928-09-8";"fenazaquin";"Solubilité dans l'eau";"0,102";"mg/L";20;"5";""
"120928-09-8";"fenazaquin";"Solubilité dans l'eau";"0,102";"mg/L";20;"7";""
"120928-09-8";"fenazaquin";"Solubilité dans l'eau";"0,135";"mg/L";20;"9";""
"114369-43-6";"fenbuconazole";"Constante de Henry";"3,01 x 10^-5";"Pa.m3/mol";;"";""
"114369-43-6";"fenbuconazole";"Log P";"3,76";"";20;"10";""
"114369-43-6";"fenbuconazole";"Log P";"3,79";"";20;"4";""
"114369-43-6";"fenbuconazole";"Log P";"3,23";"";25;"";""
"114369-43-6";"fenbuconazole";"Log P";"3,79";"";20;"7";""
"114369-43-6";"fenbuconazole";"pka";"";"";;"";""
"114369-43-6";"fenbuconazole";"Pression de vapeur";"3,4 x 10^-7";"Pa";25;"";""
"114369-43-6";"fenbuconazole";"Solubilité dans l'eau";"2,17";"mg/L";20;"10";""
"114369-43-6";"fenbuconazole";"Solubilité dans l'eau";"2,47";"mg/L";20;"7";""
"114369-43-6";"fenbuconazole";"Solubilité dans l'eau";"2,57";"mg/L";20;"4";""
"126833-17-8";"fenhexamid";"Constante de Henry";"5x10^-6";"Pa.m3/mol";20;"7";""
"126833-17-8";"fenhexamid";"Constante de Henry";"3x10^-7";"Pa.m3/mol";20;"9";""
"126833-17-8";"fenhexamid";"Constante de Henry";"9x10^-6";"Pa.m3/mol";20;"5";""
"126833-17-8";"fenhexamid";"Log P";"2,23";"";20;"9";""
"126833-17-8";"fenhexamid";"Log P";"3,51";"";20;"7";""
"126833-17-8";"fenhexamid";"Log P";"3,62";"";20;"4";""
"126833-17-8";"fenhexamid";"pka";"7,3";"";;"";""
"126833-17-8";"fenhexamid";"Pression de vapeur";"1.91 - 2.58";"µPa";30;"";""
"126833-17-8";"fenhexamid";"Pression de vapeur";"0.9";"µPa";25;"";""
"126833-17-8";"fenhexamid";"Pression de vapeur";"0.4";"µPa";20;"";""
"126833-17-8";"fenhexamid";"Solubilité dans l'eau";"24";"mg/L";20;"7";""
"126833-17-8";"fenhexamid";"Solubilité dans l'eau";"412";"mg/L";20;"9";""
"126833-17-8";"fenhexamid";"Solubilité dans l'eau";"14";"mg/L";20;"5";""
"71283-80-2";"fenoxaprop-P-ethyl";"Constante de Henry";"2.739 e-4";"Pa.m3/mol";20;"";""
"71283-80-2";"fenoxaprop-P-ethyl";"Log P";"4,58";"";30;"";""
"71283-80-2";"fenoxaprop-P-ethyl";"pka";"-0,18";"";;"";""
"71283-80-2";"fenoxaprop-P-ethyl";"Pression de vapeur";"0.53";"µPa";20;"";""
"71283-80-2";"fenoxaprop-P-ethyl";"Solubilité dans l'eau";"0,7";"mg/L";20;"6";""
"79127-80-3";"fenoxycarbe";"Constante de Henry";"3,3 x 10^-5";"Pa.m3/mol";;"";""
"79127-80-3";"fenoxycarbe";"Log P";"4,07";"";25;"";""
"79127-80-3";"fenoxycarbe";"pka";"";"";;"";""
"79127-80-3";"fenoxycarbe";"Pression de vapeur";"0,867";"µPa";25;"";""
"79127-80-3";"fenoxycarbe";"Solubilité dans l'eau";"7,9";"mg/L";25;"";""
"517875-34-2";"fenpicoxamide";"Constante de Henry";"2,38x10^-3";"Pa.m3/mol";25;"";""
"517875-34-2";"fenpicoxamide";"Log P";"4,4";"";20;"7";""
"517875-34-2";"fenpicoxamide";"Log P";"4,3";"";20;"9";""
"517875-34-2";"fenpicoxamide";"Log P";"4,2";"";20;"5";""
"517875-34-2";"fenpicoxamide";"pka";"2,4";"";;"";""
"517875-34-2";"fenpicoxamide";"Pression de vapeur";"1,2x10^-7";"Pa";20;"";""
"517875-34-2";"fenpicoxamide";"Pression de vapeur";"2,0x10^-7";"Pa";25;"";""
"517875-34-2";"fenpicoxamide";"Solubilité dans l'eau";"0,041";"mg/L";20;"7";""
"517875-34-2";"fenpicoxamide";"Solubilité dans l'eau";"0,029";"mg/L";20;"9";""
"517875-34-2";"fenpicoxamide";"Solubilité dans l'eau";"0,031";"mg/L";20;"5";""
"67306-00-7";"fenpropidine";"Constante de Henry";"10.7";"Pa.m3/mol";25;"";""
"67306-00-7";"fenpropidine";"Log P";"0,83";"";25;"4,2";""
"67306-00-7";"fenpropidine";"Log P";"2,9";"";25;"7";""
"67306-00-7";"fenpropidine";"Log P";"4,5";"";25;"9";""
"67306-00-7";"fenpropidine";"pka";"10,13";"";;"";""
"67306-00-7";"fenpropidine";"Pression de vapeur";"1.7 E-2";"Pa";25;"";""
"67306-00-7";"fenpropidine";"Solubilité dans l'eau";"6.2";"mg/L";25;"9";""
"67306-00-7";"fenpropidine";"Solubilité dans l'eau";"0.530";"g/L";25;"7";""
"67306-00-7";"fenpropidine";"Solubilité dans l'eau";"130";"g/L";25;"6";""
"67564-91-4";"fenpropimorphe";"Constante de Henry";"2,74";"Pa.m3/mol";;"";""
"67564-91-4";"fenpropimorphe";"Log P";"2,72";"";;"5";""
"67564-91-4";"fenpropimorphe";"Log P";"4,5";"";;"7";""
"67564-91-4";"fenpropimorphe";"Log P";"5,18";"";;"9";""
"67564-91-4";"fenpropimorphe";"pka";"6,98";"";20;"";""
"67564-91-4";"fenpropimorphe";"pka";"6,81";"";25;"";""
"67564-91-4";"fenpropimorphe";"Pression de vapeur";"3,9";"mPa";20;"";""
"67564-91-4";"fenpropimorphe";"Pression de vapeur";"7";"mPa";25;"";""
"67564-91-4";"fenpropimorphe";"Pression de vapeur";"7,1";"mPa";25;"";""
"67564-91-4";"fenpropimorphe";"Solubilité dans l'eau";"7,3";"g/L";20;"4,4";""
"67564-91-4";"fenpropimorphe";"Solubilité dans l'eau";"4.3";"mg/L";20;"6";""
"67564-91-4";"fenpropimorphe";"Solubilité dans l'eau";"4,32";"mg/L";20;"6";""
"67564-91-4";"fenpropimorphe";"Solubilité dans l'eau";"3,56";"mg/L";20;"10,2";""
"473798-59-3";"fenpyrazamine";"Constante de Henry";"1,62x10^-4";"Pa.m3/mol";20;"";""
"473798-59-3";"fenpyrazamine";"Log P";"3,52";"";25;"7,2";""
"473798-59-3";"fenpyrazamine";"pka";"";"";;"";""
"473798-59-3";"fenpyrazamine";"Pression de vapeur";"<10^-5";"Pa";25;"";""
"473798-59-3";"fenpyrazamine";"Solubilité dans l'eau";"20,4";"mg/L";20;"7";""
"134098-61-6";"fenpyroximate";"Log P";"5,01";"";20;"";""
"134098-61-6";"fenpyroximate";"pka";"";"";;"";""
"134098-61-6";"fenpyroximate";"Pression de vapeur";"10";"µPa";25;"";""
"134098-61-6";"fenpyroximate";"Solubilité dans l'eau";"29,8";"µg/L";;"9";""
"134098-61-6";"fenpyroximate";"Solubilité dans l'eau";"21,4";"µg/L";25;"5";""
"134098-61-6";"fenpyroximate";"Solubilité dans l'eau";"23,1";"µg/L";25;"7";""
"104040-78-0";"flazasulfuron";"Constante de Henry";"<2.58 e-6";"Pa.m3/mol";25;"";""
"104040-78-0";"flazasulfuron";"Log P";"1,3";"";25;"5";""
"104040-78-0";"flazasulfuron";"Log P";"-0,06";"";25;"7";""
"104040-78-0";"flazasulfuron";"pka";"+4,37";"";20;"";""
"104040-78-0";"flazasulfuron";"Pression de vapeur";"<1.33 e-5";"Pa";25;"";""
"104040-78-0";"flazasulfuron";"Solubilité dans l'eau";"0.027";"g/L";25;"5";""
"104040-78-0";"flazasulfuron";"Solubilité dans l'eau";"2.1";"g/L";25;"7";""
"158062-67-0";"flonicamid";"Constante de Henry";"4.2 e-8";"Pa.m3/mol";;"";""
"158062-67-0";"flonicamid";"Log P";"0,3";"";29,8;"";""
"158062-67-0";"flonicamid";"Pression de vapeur";"0.943";"µPa";20;"";""
"158062-67-0";"flonicamid";"Solubilité dans l'eau";"5.2";"g/L";20;"";""
"145701-23-1";"florasulam";"Constante de Henry";"4.35x10^-7";"Pa.m3/mol";20;"7";""
"145701-23-1";"florasulam";"Constante de Henry";"3,29x10^-5";"Pa.m3/mol";20;"5";""
"145701-23-1";"florasulam";"Constante de Henry";"2.94x10^-8";"Pa.m3/mol";20;"9";""
"145701-23-1";"florasulam";"Log P";"-1,22";"";20;"7";""
"145701-23-1";"florasulam";"Log P";"-2,06";"";20;"10";""
"145701-23-1";"florasulam";"Log P";"1";"";20;"4";""
"145701-23-1";"florasulam";"pka";"4,54";"";22;"";""
"145701-23-1";"florasulam";"Pression de vapeur";"e-5";"Pa";25;"";""
"145701-23-1";"florasulam";"Solubilité dans l'eau";"94.2";"g/L";20;"9";""
"145701-23-1";"florasulam";"Solubilité dans l'eau";"6.36";"g/L";20;"7";""
"145701-23-1";"florasulam";"Solubilité dans l'eau";"0.084";"g/L";20;"5";""
"145701-23-1";"florasulam";"Solubilité dans l'eau";"0.121";"g/L";20;"5,6 à 5,8";""
"79241-46-6";"fluazifop P butyl";"Constante de Henry";"4.9 10-2";"Pa.m3/mol";20;"";""
"79241-46-6";"fluazifop P butyl";"Log P";"4,5";"";20;"";""
"79241-46-6";"fluazifop P butyl";"pka";"";"";;"";""
"79241-46-6";"fluazifop P butyl";"Pression de vapeur";"0.12";"mPa";20;"";""
"79241-46-6";"fluazifop P butyl";"Solubilité dans l'eau";"0.93";"mg/L";20;"5";""
"79622-59-6";"fluazinam";"Constante de Henry";"25,9";"Pa.m3/mol";20;"";""
"79622-59-6";"fluazinam";"Log P";"4,03";"";25;"5,5 à 7";""
"79622-59-6";"fluazinam";"pka";"7,34";"";20;"";""
"79622-59-6";"fluazinam";"Pression de vapeur";"7,5";"mPa";20;"";""
"79622-59-6";"fluazinam";"Solubilité dans l'eau";"0,106";"mg/L";20;"5";""
"79622-59-6";"fluazinam";"Solubilité dans l'eau";"0,135";"mg/L";20;"7";""
"79622-59-6";"fluazinam";"Solubilité dans l'eau";"2,72";"mg/L";20;"9";""
"131341-86-1";"fludioxonyl";"Constante de Henry";"5.4 E-5";"Pa.m3/mol";;"";""
"131341-86-1";"fludioxonyl";"Log P";"4,12";"";25;"";""
"131341-86-1";"fludioxonyl";"pka";"14,1";"";;"";""
"131341-86-1";"fludioxonyl";"Pression de vapeur";"0.39";"µPa";25;"";""
"131341-86-1";"fludioxonyl";"Solubilité dans l'eau";"1.8";"mg/L";25;"2 à 12";""
"142459-58-3";"flufenacet";"Constante de Henry";"9 e-4";"Pa.m3/mol";20;"";""
"142459-58-3";"flufenacet";"Log P";"3,2";"";24;"";""
"142459-58-3";"flufenacet";"pka";"";"";;"";""
"142459-58-3";"flufenacet";"Pression de vapeur";"90";"µPa";20;"";""
"142459-58-3";"flufenacet";"Solubilité dans l'eau";"56";"mg/L";20;"4 à 7";""
"142459-58-3";"flufenacet";"Solubilité dans l'eau";"53";"mg/L";20;"9";""
"103361-09-7";"flumioxazine";"Constante de Henry";"6,36 e-2";"Pa.m3/mol";20;"";""
"103361-09-7";"flumioxazine";"Log P";"2,55";"";20;"";""
"103361-09-7";"flumioxazine";"pka";"";"";;"";""
"103361-09-7";"flumioxazine";"Pression de vapeur";"3.2";"mPa";22;"";""
"103361-09-7";"flumioxazine";"Solubilité dans l'eau";"1.79";"mg/L";25;"";""
"239110-15-7 ";"fluopicolide";"Constante de Henry";"4.15 e-5";"Pa.m3/mol";;"";""
"239110-15-7 ";"fluopicolide";"Log P";"2,9";"";20;"7";""
"239110-15-7 ";"fluopicolide";"pka";"";"";;"";""
"239110-15-7 ";"fluopicolide";"Pression de vapeur";"3.03 e-7";"Pa";20;"";""
"239110-15-7 ";"fluopicolide";"Solubilité dans l'eau";"0.0028";"g/L";20;"7";""
"658066-35-4";"fluopyram";"Constante de Henry";"2,98*10^-5";"Pa.m3/mol";;"";""
"658066-35-4";"fluopyram";"Log P";"3,3";"";20;"";""
"658066-35-4";"fluopyram";"pka";"";"";;"";""
"658066-35-4";"fluopyram";"Pression de vapeur";"1,2*10^-6";"Pa";20;"";""
"658066-35-4";"fluopyram";"Solubilité dans l'eau";"16";"mg/L";20;"7";""
"2699-79-8";"fluorure de sulfuryle";"Constante de Henry";"1.6 e5";"Pa.m3/mol";20;"";""
"2699-79-8";"fluorure de sulfuryle";"Log P";"0,14";"";20;"";""
"2699-79-8";"fluorure de sulfuryle";"pka";"";"";;"";""
"2699-79-8";"fluorure de sulfuryle";"Pression de vapeur";"1.6 e6";"Pa";20;"";""
"2699-79-8";"fluorure de sulfuryle";"Solubilité dans l'eau";"1.04";"mg/L";20;"";""
"361377-29-9";"fluoxastrobine";"Constante de Henry";"1 e-7";"Pa.m3/mol";20;"";""
"361377-29-9";"fluoxastrobine";"Log P";"2,86";"";20;"";""
"361377-29-9";"fluoxastrobine";"Pression de vapeur";"0.56";"nPa";20;"";""
"361377-29-9";"fluoxastrobine";"Solubilité dans l'eau";"2.29";"mg/L";20;"7";""
"361377-29-9";"fluoxastrobine";"Solubilité dans l'eau";"2.27";"mg/L";20;"9";""
"361377-29-9";"fluoxastrobine";"Solubilité dans l'eau";"2.43";"mg/L";20;"4";""
"136426-54-5";"fluquinconazole";"Constante de Henry";"2,09 x e-6";"Pa.m3/mol";;"";""
"136426-54-5";"fluquinconazole";"Log P";"=3,24";"";20;"5,58";""
"136426-54-5";"fluquinconazole";"pka";"-4,4";"";;"";""
"136426-54-5";"fluquinconazole";"pka";"=0,9";"";;"";""
"136426-54-5";"fluquinconazole";"Pression de vapeur";"6.4";"nPa";20;"";""
"136426-54-5";"fluquinconazole";"Solubilité dans l'eau";"1,21";"g/L";20;"10,7";""
"136426-54-5";"fluquinconazole";"Solubilité dans l'eau";"1,15";"g/L";20;"6,6";""
"136426-54-5";"fluquinconazole";"Solubilité dans l'eau";"0,90";"g/L";20;"3,8";""
"61213-25-0";"flurochloridone";"Constante de Henry";"2,40 e-3";"Pa.m3/mol";25;"";""
"61213-25-0";"flurochloridone";"Log P";"3,36";"";20;"7";""
"61213-25-0";"flurochloridone";"pka";"";"";;"";""
"61213-25-0";"flurochloridone";"Pression de vapeur";"2,7 x10^-4";"Pa";25;"";""
"61213-25-0";"flurochloridone";"Solubilité dans l'eau";"31,1";"mg/L";20;"4";""
"61213-25-0";"flurochloridone";"Solubilité dans l'eau";"21,9";"mg/L";20;"7";""
"61213-25-0";"flurochloridone";"Solubilité dans l'eau";"28,6";"mg/L";20;"9";""
"69377-81-7";"fluroxypyr";"Constante de Henry";"1,69 x10^-10";"Pa.m3/mol";20;"";""
"69377-81-7";"fluroxypyr";"Log P";"2";"";25;"5";""
"69377-81-7";"fluroxypyr";"Log P";"0,0393";"";25;"7";""
"69377-81-7";"fluroxypyr";"Log P";"0,0155";"";25;"9";""
"69377-81-7";"fluroxypyr";"pka";"2,94";"";25;"";""
"69377-81-7";"fluroxypyr";"Pression de vapeur";"3,8 x10^-9";"Pa";20;"";""
"69377-81-7";"fluroxypyr";"Solubilité dans l'eau";"7,3";"mg/L";20;"9,2";""
"69377-81-7";"fluroxypyr";"Solubilité dans l'eau";"5,7";"mg/L";20;"5";""
"69377-81-7";"fluroxypyr";"Solubilité dans l'eau";"4,2";"g/L";20;"4,9";""
"69377-81-7";"fluroxypyr";"Solubilité dans l'eau";"125";"mg/L";20;"3";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"Constante de Henry";"0.027";"Pa.m3/mol";20;"";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"Log P";"4,57";"";20;"5";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"Log P";"5,04";"";20;"7";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"Log P";"5,31";"";20;"9";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"pka";"";"";;"";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"Pression de vapeur";"20";"µPa";25;"";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"Pression de vapeur";"10";"µPa";20;"";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"Solubilité dans l'eau";"136";"ug/L";;"7";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"Solubilité dans l'eau";"57.2";"ug/L";20;"9";""
"81406-37-3";"fluroxypyr : methylheptyl ester";"Solubilité dans l'eau";"294";"ug/L";;"5";""
"66332-96-5";"flutolanil";"Constante de Henry";"1,65 10-5";"Pa.m3/mol";;"";""
"66332-96-5";"flutolanil";"Log P";"3,17";"";21;"";""
"66332-96-5";"flutolanil";"pka";"";"";;"";""
"66332-96-5";"flutolanil";"Pression de vapeur";"0,41";"µPa";20;"";""
"66332-96-5";"flutolanil";"Pression de vapeur";"1,0";"µPa";25;"";""
"66332-96-5";"flutolanil";"Solubilité dans l'eau";"8,01";"mg/L";20;"";""
"76674-21-0";"flutriafol";"Constante de Henry";"1,27 e-6";"Pa.m3/mol";20;"";""
"76674-21-0";"flutriafol";"Log P";"=2,3";"";20;"";""
"76674-21-0";"flutriafol";"pka";"=2,3";"";25;"";""
"76674-21-0";"flutriafol";"Pression de vapeur";"4 e-7";"Pa";20;"";""
"76674-21-0";"flutriafol";"Solubilité dans l'eau";"124";"mg/L";20;"4";""
"76674-21-0";"flutriafol";"Solubilité dans l'eau";"95";"mg/L";20;"7";""
"76674-21-0";"flutriafol";"Solubilité dans l'eau";"102";"mg/L";;"10";""
"907204-31-3";"fluxapyroxad";"Constante de Henry";"3.028 x 10^-7";"Pa.m3/mol";20;"";""
"907204-31-3";"fluxapyroxad";"Log P";"3,08";"";20;"";""
"907204-31-3";"fluxapyroxad";"Log P";"3,09";"";20;"4";""
"907204-31-3";"fluxapyroxad";"Log P";"3,09";"";20;"9";""
"907204-31-3";"fluxapyroxad";"Log P";"3,13";"";20;"7";""
"907204-31-3";"fluxapyroxad";"pka";"-2,78";"";;"";""
"907204-31-3";"fluxapyroxad";"pka";"12,58";"";;"";""
"907204-31-3";"fluxapyroxad";"pka";"-5,52";"";;"";""
"907204-31-3";"fluxapyroxad";"Pression de vapeur";"2.7";"nPa";20;"";""
"907204-31-3";"fluxapyroxad";"Pression de vapeur";"8.1";"nPa";25;"";""
"907204-31-3";"fluxapyroxad";"Solubilité dans l'eau";"3,88";"mg/L";20;"6";""
"907204-31-3";"fluxapyroxad";"Solubilité dans l'eau";"3,78";"mg/L";20;"4";""
"907204-31-3";"fluxapyroxad";"Solubilité dans l'eau";"3,44";"mg/L";20;"7";""
"907204-31-3";"fluxapyroxad";"Solubilité dans l'eau";"3,84";"mg/L";20;"9";""
"133-07-3";"folpel";"Constante de Henry";"8 e-3";"Pa.m3/mol";25;"";""
"133-07-3";"folpel";"Log P";"3,017";"";20;"";""
"133-07-3";"folpel";"pka";"";"";;"";""
"133-07-3";"folpel";"Pression de vapeur";"45  e-4";"Pa";45;"";""
"133-07-3";"folpel";"Pression de vapeur";"9.7 e-5";"Pa";35;"";""
"133-07-3";"folpel";"Pression de vapeur";"2.1 e-5";"Pa";25;"";""
"133-07-3";"folpel";"Solubilité dans l'eau";"0,5";"mg/L";15;"";""
"133-07-3";"folpel";"Solubilité dans l'eau";"0.8";"mg/L";25;"";""
"173159-57-4";"foramsulfuron";"Constante de Henry";"5.8x10^-12";"Pa.m3/mol";20;"";""
