(produit) type produit;(produit) numero AMM;(produit) nom produit;(produit) seconds noms commerciaux;(produit) titulaire;(produit) type commercial;(produit) gamme usage;(produit) mentions autorisees;(produit) restrictions usage;(produit) restrictions usage libelle;(produit) Substances actives;(produit) fonctions;(produit) formulations;(produit) Etat d’autorisation;(produit) Date de retrait du produit;(produit) Date de première autorisation;(produit) Numéro AMM du produit de référence;(produit) Nom du produit de référence;
PPP;9100383;FERTILIGENE APPAT VERS GRIS;;Evergreen Garden Care France SAS;Produit de revente;;Emploi autorisé dans les jardins;;;carbaryl (Carbaryl) 5.0 %;;Appât sur grains;RETIRE;01/11/2001;01/06/1991;7400075;SEVIN APPAT;
PPP;9100384;SOVI SOL PM 3;;Evergreen Garden Care France SAS;Produit de revente;;;;;amitrole (Amitrole) 15.0 % | diuron (Diuron) 30.0 %;Herbicide;Poudre mouillable;RETIRE;04/12/1998;01/06/1991;9000797;HERBONEX DESHERBANT TOTAL POUDRE;
PPP;9100385;SOVI SOL LIQUIDE 2;;Evergreen Garden Care France SAS;Produit de revente;;;;;amitrole (Amitrole) 75.0 g/L | diuron (Diuron) 150.0 g/L;Herbicide;Suspension concentrée;RETIRE;04/12/1998;01/06/1991;9000796;HERBONEX DESHERBANT TOTAL LIQUIDE;
PPP;9100386;CERTIN TRAITEMENT INSECTES ET MALADIES;;BAYER SAS;Produit de revente;;Emploi autorisé dans les jardins;;;cyperméthrine (Cypermethrin) 0.103 g/L | dicofol (Dicofol) 0.63 g/L | propiconazole (Propiconazole) 0.103 g/L;Fongicide | Insecticide;Générateur d'aérosol;RETIRE;25/03/2009;01/06/1991;8400183;GESAL TRAITEMENT TOTAL ROSIERS;
PPP;9100387;COLLIE;;POUGET SOLAMI SA;Produit de revente;;;;;dicamba sel d'amine (Dicamba) 0.13 % | MCPA sel d'amine (MCPA) 0.5 %;;Granulé;RETIRE;28/06/2006;01/06/1991;8100108 | 8100108;SHUNT | SHUNT;
PPP;9100388;P3 INCIDIN KS;;HENKEL ECOLAB SNC;Produit de référence;;;;;Chlorure de dimethyldodecylbenzyl ammonium (Chlorure de dimethyldodecylbenzyl ammonium) 112.0 g/L | Chlorure de tetraalkylphosphonium (Chlorure de tetraalkylphosphonium) 40.0 g/L;Désinfectants production végétales;Liquide;RETIRE;15/06/1999;01/10/1991;;;
PPP;9100394;OCCI TOTAL HERBE GRANULE;;LABORATOIRES LOGISSAIN;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;01/10/1997;01/10/1991;8500302;SPICAGRAN;
PPP;9100396;HUILE GERMIPHYT;;GERMICOPA S.A.;Produit de référence;;;;;Huiles blanches de petrole (Huiles blanches de petrole) 97.0 %;ND;Huile émulsionnable;RETIRE;05/12/2008;01/04/1992;;;
PPP;9100397;BEST;;BAYER SAS;Produit de référence;;;;;deltaméthrine (Deltamethrin) 5.0 g/L | Pyrimicarbe (Pyrimicarbe) 100.0 g/L;Insecticide;Concentré émulsionnable;RETIRE;26/07/2007;01/02/1992;;;
PPP;9100398;DIPEL 8 AF;;ABBOTT;Produit de référence;;;;;Bacillus thuringiensis subsp. kurstaki SOUCHE: ABTS 351 Collection de cultu (Bacillus thuringiensis subsp. kurstaki strain ABTS 351) 22.8 %;;Liquide;RETIRE;13/10/2006;01/06/1995;;;
PPP;9100406;HERBI 7;;SEPT D'ARMOR;Produit de revente;;;;;amitrole (Amitrole) 160.0 g/L | bromacil (Bromacil) 45.0 g/L | diuron (Diuron) 130.0 g/L;Herbicide;Liquide;RETIRE;06/02/2004;01/06/1991;9100124;HERTIN BROMA D;
PPP;9100409;OPTICA TRIO;;NUFARM S.A;Produit de référence;;;;;dichlorprop-P (Dichlorprop-P) 310.0 g/L | mécoprop-P (Mecoprop-P) 130.0 g/L | MCPA sel de diméthylamine (MCPA) 160.0 g/L;;Liquide;RETIRE;03/10/2012;01/06/1994;;;
PPP;9100414;MISTEL DG;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;cymoxanil (Cymoxanil) 6.0 % | mancozèbe (Mancozeb) 70.0 %;;Granulé dispersable;RETIRE;01/12/1991;01/10/1991;;;
PPP;9100415;FOLISTOP L;;PHOSYN;Produit de référence;;;;;cuivre (Copper compounds) 6.4 % | EDTA (EDTA) 40.5 %;;Liquide;RETIRE;17/09/2010;01/06/1993;;;
PPP;9100416;BACTIFOLI-STOP;;PHOSYN;Produit de référence;;;;;cuivre (Copper compounds) 6.4 % | EDTA (EDTA) 40.5 %;;Liquide;RETIRE;11/10/2006;01/06/1992;;;
PPP;9100419;ERBLESS-92;;CHEMICAL CONTINENTAL INDUSTRIES;Produit de revente;;;;;amitrole (Amitrole) 100.0 g/L | diuron (Diuron) 140.0 g/L | thiocyanate d'ammonium (Ammonium thiocyanate) 89.0 g/L;Herbicide;Liquide;RETIRE;12/04/2002;01/06/1991;9100075;TRADIANOL DAT 329;
PPP;9100420;CI-92;;CHEMICAL CONTINENTAL INDUSTRIES;Produit de revente;;;;;amitrole (Amitrole) 3.0 % | diuron (Diuron) 3.5 % | thiocyanate de sodium (Thiocyanate de sodium) 2.65 %;Herbicide;Granulé;RETIRE;06/02/2004;01/06/1991;9100077;TRADIAGRANE DAT;
PPP;9100421;ERDIWEED-S AT;;RESEARCH DEVELOPMENT INDUSTRIES;Produit de revente;;;;;amitrole (Amitrole) 100.0 g/L | diuron (Diuron) 140.0 g/L | thiocyanate d'ammonium (Ammonium thiocyanate) 89.0 g/L;Herbicide;Liquide;RETIRE;06/06/2003;01/06/1991;9100075;TRADIANOL DAT 329;
PPP;9100422;KILNET-SAT;;ZEP INDUSTRIES;Produit de revente;;;;;amitrole (Amitrole) 3.0 % | diuron (Diuron) 3.5 % | thiocyanate de sodium (Thiocyanate de sodium) 2.65 %;;Granulé;RETIRE;06/02/2004;01/06/1991;9100077;TRADIAGRANE DAT;
PPP;9100423;DESERB 85-ST;;ZEP INDUSTRIES;Produit de référence;;;;;amitrole (Amitrole) 100.0 g/L | diuron (Diuron) 140.0 g/L | thiocyanate d'ammonium (Ammonium thiocyanate) 89.0 g/L;Herbicide;Suspension concentrée;RETIRE;16/03/2009;01/06/1991;;;
PPP;9100424;DESERB 30-ST;;RESOLVE;Produit de revente;;;;;amitrole (Amitrole) 3.0 % | diuron (Diuron) 3.5 % | thiocyanate de sodium (Thiocyanate de sodium) 2.65 %;Herbicide;Granulé;RETIRE;06/04/2001;01/06/1991;9100077;TRADIAGRANE DAT;
PPP;9100426;SELEX;;B.H.S;Produit de référence;;;;;lénacile (Lenacil) 120.0 g/L | néburon (Neburon) 180.0 g/L;Herbicide;Suspension concentrée;RETIRE;05/02/1998;01/06/1993;;;
PPP;9100432;LAMA;;BAYER SAS;Produit de référence;;;;;nicosulfuron (Nicosulfuron) 4.4 %;;Suspension concentrée;RETIRE;08/07/2002;01/06/1992;;;
PPP;9100434;ENZONE;;ARYSTA LIFESCIENCE;Produit de référence;;;;;Tetrathiocarbonate de sodium (Sodium tetrathiocarbonate) 403.0 g/L;Fongicide;Liquide;RETIRE;21/05/2007;01/06/1993;;;
PPP;9100439;INITIAL;;DUPONT SOLUTIONS (FRANCE) S.A.S.;Produit de référence;;;;;fenpropimorphe (Fenpropimorph) 375.0 g/L | flusilazole (Flusilazole) 250.0 g/L;;Concentré émulsionnable;RETIRE;08/09/2010;01/06/1992;;;
PPP;9100440;DESHERB'NET 2000;;PAC.J;Produit de revente;;;;;amitrole (Amitrole) 100.0 g/L | diuron (Diuron) 300.0 g/L | simazine (Simazine) 60.0 g/L;;Liquide;RETIRE;01/02/1997;01/10/1991;9000589;HERTIN DAS;
PPP;9100441;MASCOTTE;;SYNGENTA FRANCE SAS;Produit de référence;;;;;diuron (Diuron) 212.5 g/L | glyphosate sel d'isopropylamine (Glyphosate) 150.0 g/L | terbuthylazine (Terbuthylazine) 237.5 g/L;Herbicide;Suspension concentrée;RETIRE;04/04/2003;01/06/1992;;;
PPP;9100442;GRANU 7;;SEPT D'ARMOR;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;01/10/1997;01/10/1991;9100123;HERTOG G3;
PPP;9100443;PITBULL;;JABLO PLANT PROTECTION LIMITED;Produit de référence;;;;;glyphosate sel d'isopropylamine (Glyphosate) 360.0 g/L;Herbicide;Liquide;RETIRE;17/05/2005;01/12/1992;;;
PPP;9100444;TERSOL DAB;;FRANCE CHIMIE;Produit de revente;;;;;amitrole (Amitrole) 160.0 g/L | bromacil (Bromacil) 45.0 g/L | diuron (Diuron) 130.0 g/L;;Liquide;RETIRE;01/04/1992;01/10/1991;9100124;HERTIN BROMA D;
PPP;9100445;TERSOL DG3;;FRANCE CHIMIE;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;;Granulé;RETIRE;01/04/1992;01/10/1991;9100123;HERTOG G3;
PPP;9100446;PERFEX PRO;;B.H.S;Produit de référence;;;;;amitrole (Amitrole) 100.0 g/L | diuron (Diuron) 350.0 g/L | thiocyanate d'ammonium (Ammonium thiocyanate) 90.0 g/L;Herbicide;Suspension concentrée;RETIRE;01/10/1997;01/10/1991;;;
PPP;9100447;SIROCCO;;B.H.S;Produit de référence;;;;;amitrole (Amitrole) 100.0 g/L | bromacil (Bromacil) 95.0 g/L | diuron (Diuron) 150.0 g/L | thiocyanate d'ammonium (Ammonium thiocyanate) 90.0 g/L;;Suspension concentrée;RETIRE;06/06/2003;01/10/1991;;;
PPP;9100448;VIGILANT;;B.H.S;Produit de référence;;;;;amitrole (Amitrole) 80.0 g/L | bromacil (Bromacil) 100.0 g/L | diuron (Diuron) 100.0 g/L | simazine (Simazine) 100.0 g/L | thiocyanate d'ammonium (Ammonium thiocyanate) 70.0 g/L;;Suspension concentrée;RETIRE;01/02/1997;01/10/1991;;;
PPP;9100449;DECAP'HERB TOTAL;;B.H.S;Produit de référence;;;;;amitrole (Amitrole) 100.0 g/L | diuron (Diuron) 200.0 g/L | simazine (Simazine) 150.0 g/L;;Suspension concentrée;RETIRE;01/02/1997;01/10/1991;;;
PPP;9100450;NITRACIL;;NITRAL;Produit de revente;;;;;amitrole (Amitrole) 160.0 g/L | bromacil (Bromacil) 45.0 g/L | diuron (Diuron) 130.0 g/L;Herbicide;Liquide;RETIRE;06/02/2004;01/10/1991;9100124;HERTIN BROMA D;
PPP;9100452;DJINN;;AGREVO FRANCE S.A.;Produit de référence;;;;;fénoxaprop-P-éthyle (Fenoxaprop-P) 20.6 g/L | isoproturon (Isoproturon) 300.0 g/L;Herbicide;Suspension concentrée;RETIRE;04/02/1999;01/06/1992;;;
PPP;9100453;METHOMEX 20 MF;;ADAMA FRANCE SAS;Produit de référence;;;;;méthomyl (Methomyl) 200.0 g/L;Insecticide;Concentré soluble;RETIRE;10/03/2008;01/12/1995;;;
PPP;9100454;VANG 02 27;;VANG;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;01/10/1997;01/10/1991;9100123;HERTOG G3;
PPP;9100455;DHT 940;;NGA;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;01/10/1997;01/10/1991;9100123;HERTOG G3;
PPP;9100458;CIMEKA 335;;CIDEVCO (CIMELAK ESPACES VERTS);Produit de revente;;;;;amitrole (Amitrole) 160.0 g/L | bromacil (Bromacil) 45.0 g/L | diuron (Diuron) 130.0 g/L;Herbicide;Liquide;RETIRE;07/06/2002;01/10/1991;9100124;HERTIN BROMA D;
PPP;9100459;CIMEKA GRN;;CIDEVCO (CIMELAK ESPACES VERTS);Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;06/06/2003;01/10/1991;9100123;HERTOG G3;
PPP;9100460;KARAIBE;;SOPRA;Produit de référence;;;;;lambda-cyhalothrine (Lambda-Cyhalothrin) 25.0 g/L;;Emulsion de type aqueux;RETIRE;08/07/2002;01/06/1992;;;
PPP;9100462;SYMPHONIE L;;PEPRO  DEP.RHONE POULENC AGROCHIMIE;Produit de référence;;;;;flutolanil (Flutolanil) 40.0 %;Fongicide;Suspension concentrée;RETIRE;01/10/1992;01/06/1992;;;
PPP;9100463;SYMPHONIE P;;PEPRO  DEP.RHONE POULENC AGROCHIMIE;Produit de référence;;;;;flutolanil (Flutolanil) 6.0 %;Fongicide;Poudre à pulvériser;RETIRE;01/10/1992;01/06/1992;;;
PPP;9100464;PARFOR DB GRANULE;;PARFOR;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;06/06/2003;01/10/1991;9100123;HERTOG G3;
PPP;9100465;PARFOR DBA;;PARFOR;Produit de revente;;;;;amitrole (Amitrole) 160.0 g/L | bromacil (Bromacil) 45.0 g/L | diuron (Diuron) 130.0 g/L;Herbicide;Liquide;RETIRE;06/06/2003;01/10/1991;9100124;HERTIN BROMA D;
PPP;9100467;FANYL CANOLA;;AGREVO FRANCE S.A.;Produit de référence;;;;;carbendazime (Carbendazim) 80.0 g/L | fenbuconazole (Fenbuconazole) 40.0 g/L | prochloraze (Prochloraz) 213.0 g/L;Fongicide;Concentré émulsionnable;RETIRE;09/06/2000;01/12/1991;;;
PPP;9100468;MENHIR;;SCHERING;Produit de référence;;;;;desmédiphame (Desmedipham) 16.0 g/L | éthofumesate (Ethofumesate) 128.0 g/L | phenmédiphame (Phenmedipham) 62.0 g/L;;Concentré émulsionnable;RETIRE;01/04/1995;01/10/1991;;;
PPP;9100469;SARGASS;;BAYER SAS;Produit de référence;;;;;carbendazime (Carbendazim) 100.0 g/L | fenbuconazole (Fenbuconazole) 37.5 g/L;Fongicide;Concentré émulsionnable;RETIRE;17/08/2007;01/12/1991;;;
PPP;9100474;SCOPE HF;;FMC CHEMICAL SPRL;Produit de référence;;;;;amitraze (Amitraz) 200.0 g/L | bifenthrine (Bifenthrin) 15.0 g/L;;Concentré émulsionnable;RETIRE;08/12/2003;01/06/1992;;;
PPP;9100475;ZIPAK HF;;BAYER SAS;Produit de référence;;;;;amitraze (Amitraz) 200.0 g/L | bifenthrine (Bifenthrin) 15.0 g/L;Insecticide;Concentré émulsionnable;RETIRE;08/12/2003;01/06/1992;;;
PPP;9100476;SPORTAK PF HF;;AGREVO FRANCE S.A.;Produit de référence;;;;;carbendazime (Carbendazim) 80.0 g/L | prochloraze (Prochloraz) 300.0 g/L;Fongicide;Concentré émulsionnable;RETIRE;09/06/2000;01/06/1992;;;
PPP;9100477;FANYL COLZA HF;;BASF FRANCE SAS;Produit de référence;;;;;carbendazime (Carbendazim) 80.0 g/L | prochloraze (Prochloraz) 300.0 g/L;Fongicide;Concentré émulsionnable;RETIRE;17/08/2007;01/06/1992;;;
PPP;9100478;GRANUXOR.;;CERCA;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;06/02/2004;01/10/1991;9100123;HERTOG G3;
PPP;9100480;TRIPLET;;CYANAMID AGRO;Produit de référence;;;;;imazaméthabenz (Imazamethabenz) 80.0 g/L | isoproturon (Isoproturon) 160.0 g/L | pendiméthaline (Pendimethalin) 160.0 g/L | Isopropanol (Isopropanol) 160.0 g/L;;Liquide;RETIRE;01/12/1993;01/06/1992;;;
PPP;9100481;SOKKER;;PHILAGRO;Produit de revente;;;;;bromoxynil ester octanoïque (Bromoxynil) 112.5 g/L | ioxynil ester octanoïque (Ioxynil) 112.5 g/L | mécoprop-P (Mecoprop-P) 335.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;19/01/2007;01/10/1991;9000310;OXYTRIL D;
PPP;9100483;BUGLE PRET A L'EMPLOI;;FMC CHEMICAL SPRL;Produit de référence;;;;;bifenthrine (Bifenthrin) 0.03 g/L;Insecticide | Acaricide;Emulsion de type aqueux;RETIRE;15/06/1999;01/02/1992;;;
PPP;9100484;BUGLE 0.3 ME;;FMC CHEMICAL SPRL;Produit de référence;;;;;bifenthrine (Bifenthrin) 3.0 g/L;Insecticide | Acaricide;Liquide;RETIRE;15/06/1999;01/02/1992;;;
PPP;9100485;ENDHERB T3;;C.M.I;Produit de revente;;;;;amitrole (Amitrole) 160.0 g/L | bromacil (Bromacil) 45.0 g/L | diuron (Diuron) 130.0 g/L;Herbicide;Liquide;RETIRE;06/02/2004;01/12/1991;9100124;HERTIN BROMA D;
PPP;9100486;FRICH DB;;C.M.I;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;06/02/2004;01/12/1991;9100123;HERTOG G3;
PPP;9100489;REICO TOTAL GRANULES NF;;REICO   FRANCE;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;06/02/2004;01/10/1991;9100123;HERTOG G3;
PPP;9100490;MFR ARAIGNEES ROUGES;;FLORENDI JARDIN SAS;Produit de référence;;Emploi autorisé dans les jardins;;;dicofol (Dicofol) 100.0 g/L;Insecticide;Liquide;RETIRE;15/04/2009;01/10/1991;;;
PPP;9100491;FRONTIERE;;BASF FRANCE SAS;Produit de référence;;;;;diméthénamide (Dimethenamid) 900.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;28/04/2007;01/10/1992;;;
PPP;9100492;GUARDSMAN;;SANDOZ AGRO;Produit de référence;;;;;atrazine (Atrazine) 175.0 g/L | Composition complexe (Composition complexe)   | diméthénamide (Dimethenamid) 350.0 g/L;;Huile émulsionnable;RETIRE;01/06/1993;01/10/1992;;;
PPP;9100493;NECTEC PATE;;JANSSEN-CILAG;Produit de référence;;Emploi autorisé dans les jardins;;;azaconazole (Azaconazole) 1.0 % | imazalil (Imazalil) 2.0 %;Fongicide;Cire;RETIRE;08/12/2003;01/12/1993;;;
PPP;9100494;NEUTRION S;;SYNGENTA AGRO S.A.S.;Produit de revente;;;;;cyperméthrine (Cypermethrin) 25.0 g/L | diazinon (Diazinon) 200.0 g/L;;Concentré émulsionnable;RETIRE;01/09/2006;01/10/1991;8500120;POLYDIAL S;
PPP;9100495;OMITE 57 NEW;;CROMPTON UNIROYAL CHEMICAL REGISTRATIONS LTD UK;Produit de référence;;;;;propargite (Propargite) 570.0 g/L;Acaricide;Liquide;RETIRE;25/03/2011;01/02/1993;;;
PPP;9100496;DIKEL;;KITEL;Produit de revente;;;;;amitrole (Amitrole) 160.0 g/L | bromacil (Bromacil) 45.0 g/L | diuron (Diuron) 130.0 g/L;Herbicide;Liquide;RETIRE;06/02/2004;01/10/1991;9100124;HERTIN BROMA D;
PPP;9100497;DEGRATEX.;;KITEL;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;01/10/1997;01/10/1991;9100123;HERTOG G3;
PPP;9100498;ALGONATURE BOUILLIE BORDELAISE;;SAINT HILAIRE;Produit de revente;;;;;sulfate de cuivre (Copper compounds) 20.0 %;;Poudre mouillable;RETIRE;17/09/2010;01/10/1991;6200075;BOUILLIE BORDELAISE RSR;
PPP;9100499;ALGONATURE BLANC DU ROSIER;;SAINT HILAIRE;Produit de revente;;Emploi autorisé dans les jardins;;;soufre micronisé (Sulphur) 825.0 g/L;;Suspension concentrée;RETIRE;22/12/2014;01/10/1991;7700216;MICROTHIOL SPECIAL LIQUIDE;
PPP;9100500;ALGONATURE PUCERONS;;SAINT HILAIRE;Produit de revente;;Emploi autorisé dans les jardins;;;Sels de potassium d'acides gras (Sels de potassium d'acides gras) 18.6 g/L;;Liquide;RETIRE;02/01/2015;01/10/1991;9000143;SAINT HILAIRE PUCERONS;
PPP;9100501;ALGONATURE INSECTICIDE POLYVALENT;;SAINT HILAIRE;Produit de référence;;;;;roténone (Rotenone) 66.6 g/L;Acaricide;Concentré émulsionnable;RETIRE;15/06/1999;01/10/1991;;;
PPP;9100502;BASF HJ ANTI-LISERONS DESHERBANT;;COMPO HORTICULTURE ET JARDIN SAS;Produit de revente;;Emploi autorisé dans les jardins;;;2,4-D sel de diméthylamine (2,4-D) 7.4 g/L | MCPA sel de diméthylamine (MCPA) 14.6 g/L;Herbicide;Générateur d'aérosol;RETIRE;04/04/2003;01/10/1991;8400209;GESAL ANTI-LISERON AEROSOL;
PPP;9100506;REMURON EXTRA;;ASEPTAN;Produit de référence;;;;;2,4-D sel d'amine (2,4-D) 120.0 g/L | amitrole (Amitrole) 180.0 g/L | bromacil (Bromacil) 50.0 g/L | diuron (Diuron) 300.0 g/L;Herbicide;Liquide;RETIRE;06/06/2003;01/02/1992;;;
PPP;9100513;GRAINOL 82;;EXXONMOBIL;Produit de référence;;;;;Huile minerale paraffinique (Huile minerale paraffinique) 845.0 g/L;ND;Huile émulsionnable;RETIRE;07/06/2002;01/10/1997;;;
PPP;9100515;HONCHO TS;;MONSANTO SAS;Produit de référence;;;;;glyphosate sel d'isopropylamine (Glyphosate) 300.0 g/L;;Liquide;RETIRE;04/04/2003;01/10/1991;;;
PPP;9100516;DURANO TX;;MONSANTO SAS;Produit de revente;;;;;glyphosate sel d'isopropylamine (Glyphosate) 120.0 g/L;;Liquide;RETIRE;04/04/2003;01/10/1991;8800651;AZURAL AT;
PPP;9100517;ARISTO TS;;MONSANTO SAS;Produit de référence;;;;;glyphosate sel d'isopropylamine (Glyphosate) 300.0 g/L;;Liquide;RETIRE;04/04/2003;01/10/1991;;;
PPP;9100518;ROUNDUP ALPHEE;;MONSANTO SAS;Produit de référence;;Emploi autorisé dans les jardins;;;glyphosate sel d'isopropylamine (Glyphosate) 7.2 g/L;Herbicide;Liquide;RETIRE;09/06/2005;01/10/1991;;;
PPP;9100523;ANTIMOUSSE LIQUIDE GRIFFATON;;GRIFFATON DISTRIBUTION;Produit de revente;;;;;dichlorophène sel monosodique (Dichlorophen) 480.0 g/L;;Liquide;RETIRE;04/04/2003;01/10/1991;8300238;FISONS STOP MOUSSES;
PPP;9100524;DESHERBANT GAZON LIQUIDE GRIFFATON;;GRIFFATON DISTRIBUTION;Produit de revente;;;;;2,4-D sel de diméthylamine (2,4-D) 100.0 g/L | mécoprop sel de diméthylamine (Mecoprop) 400.0 g/L;;Liquide;RETIRE;04/04/2003;01/10/1991;8000529 | 8000529;NOVERMONE GAZON | NOVERMONE GAZON;
PPP;9100526;AMETREX;;ADAMA FRANCE SAS;Produit de revente;;;;;amétryne (Ametryn) 500.0 g/L;;Suspension concentrée;RETIRE;11/10/2002;01/10/1991;8800757;CALLITRYNE 500;
PPP;9100528;INDAR COMBI;;DOW AGROSCIENCES SAS;Produit de référence;;;;;fenbuconazole (Fenbuconazole) 60.0 g/L | prochloraze (Prochloraz) 400.0 g/L;;Concentré émulsionnable;RETIRE;09/10/2006;01/10/1992;;;
PPP;9100530;POLKA;;DOW AGROSCIENCES SAS;Produit de revente;;;;;carbendazime (Carbendazim) 100.0 g/L | fenbuconazole (Fenbuconazole) 37.5 g/L;;Huile émulsionnable;RETIRE;28/02/2007;01/12/1991;9100469;SARGASS;
PPP;9100531;PROTUGAN 500;;ADAMA FRANCE SAS;Produit de revente;;;;;isoproturon (Isoproturon) 510.0 g/L;;Concentré. fluidifiable;RETIRE;01/02/1995;01/10/1991;8800939;QUINTIL 500;
PPP;9100532;CARBODAN;;ADAMA FRANCE SAS;Produit de référence;;;;;carbofuran (Carbofuran) 5.0 %;;Microgranulé;RETIRE;01/04/1993;01/10/1991;;;
PPP;9100534;REDOR-STEF;;STEFES FRANCE;Produit de référence;;;;;éthéphon (Ethephon) 480.0 g/L;;Liquide;RETIRE;03/04/2008;01/04/1994;;;
PPP;9100536;ROUNDUP DOSE;;MONSANTO SAS;Produit de référence;;Emploi autorisé dans les jardins;;;glyphosate sel d'isopropylamine (Glyphosate) 60.0 %;Herbicide;Comprimé / tablette;RETIRE;04/04/2003;01/10/1992;;;
PPP;9100539;TRINOX K;;SCAC FISONS;Produit de référence;;;;;carbaryl (Carbaryl) 5.0 %;;Granulé;RETIRE;01/11/2001;01/12/1991;;;
PPP;9100540;SELECTONE G;;AGRIPHAR SA;Deuxième gamme;;Emploi autorisé dans les jardins;;;2,4-D sel d'amine (2,4-D) 0.82 % | dicamba sel d'amine (Dicamba) 0.32 %;;Granulé;RETIRE;02/07/2009;01/10/1991;7000220;SELECTONE GRANULE;
PPP;9100541;CITY;;BAYER SAS (ENVIRONMENTAL);Produit de revente;;;;;bromacil (Bromacil) 100.0 g/L | diuron (Diuron) 100.0 g/L | hexazinone (Hexazinone) 25.0 g/L;Herbicide;Suspension concentrée;RETIRE;06/02/2004;01/10/1991;8400541;DYBAR FLO;
PPP;9100542;DESERCO PLUS;;IPC;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Microgranulé;RETIRE;01/10/1997;01/10/1991;8500302;SPICAGRAN;
PPP;9100543;SPICANET F;;DOW AGROSCIENCES SAS;Deuxième gamme;;;;;fluroxypyr ester 1-méthylheptyl (Fluroxypyr) 30.0 g/L | Triclopyr (ester de  butyl glycol) (Triclopyr (ester de  butyl glycol)) 90.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;04/04/2003;01/10/1991;8800287;SPICANET;
PPP;9100544;GARLON GS FORET;;DOW AGROSCIENCES SAS;Deuxième gamme;;;;;fluroxypyr ester 1-méthylheptyl (Fluroxypyr) 30.0 g/L | Triclopyr (ester de  butyl glycol) (Triclopyr (ester de  butyl glycol)) 90.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;21/09/2007;01/10/1991;8800287;SPICANET;
PPP;9100545;RELDAN 22;;DOW AGROSCIENCES SAS;Produit de référence;;;;;chlorpyriphos-méthyl (Chlorpyrifos-methyl) 225.0 g/L;Insecticide;Concentré émulsionnable;RETIRE;18/03/2015;01/10/1991;;;
PPP;9100546;DEBROUSSAILLANT 72 DOW ELANCO;;DOW AGROSCIENCES SAS;Produit de revente;;Emploi autorisé dans les jardins;;;Trichlopyr (Trichlopyr) 72.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;04/04/2003;01/10/1991;8600394;DEBROUSSAILLANT 72 PROCHIMAGRO;
PPP;9100547;VULKAN T;;BASF FRANCE SAS;Produit de référence;;;;;bentazone (Bentazone) 480.0 g/L | pendiméthaline (Pendimethalin) 400.0 g/L;;Liquide;RETIRE;08/07/2002;01/10/1991;;;
PPP;9100550;HERBOGIL SH;;PEPRO  DEP.RHONE POULENC AGROCHIMIE;Produit de référence;;;;;dinoterbe  sel de monométhylamine (Dinoterb) 25.0 %;;Poudre mouillable;RETIRE;01/10/1996;01/10/1992;;;
PPP;9100552;BASF HJ DESHERBANT PM TOTAL;;COMPO HORTICULTURE ET JARDIN;Produit de revente;;;;;amitrole (Amitrole) 167.0 g/L | diuron (Diuron) 267.0 g/L;Herbicide;Poudre mouillable;RETIRE;04/04/2003;01/10/1991;9000457;BIVOI;
PPP;9100553;GRIZZLI WP;;PHYTEUROP;Produit de revente;;;;;métamitrone (Metamitron) 70.0 %;;Poudre mouillable;RETIRE;25/08/2014;01/10/1991;7500642;GOLTIX;
PPP;9100555;ALPHA RAXIL CA;;BAYER SAS;Produit de référence;;;;;anthraquinone (Anthraquinone) 22.5 % | captane (Captan) 37.5 % | tébuconazole (Tebuconazole) 1.9 %;Fongicide;Poudre mouillable;RETIRE;06/02/2004;01/12/1992;;;
PPP;9100561;VERT BRILLANT HYDROPLAST GN;;SANDOZ AGRO;Produit de référence;;;;;Pigment de phtalocyanine (Pigment de phtalocyanine) 519.0 g/L;;Liquide;RETIRE;28/06/2006;01/02/1995;;;
