numero AMM;nom produit;Libellé court phrase de risque ;Libellé long phrase de risque;
2170650;FOLPEC DIMEO;H400;Très toxique pour les organismes aquatiques;
2170650;FOLPEC DIMEO;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160263;TEBUTEC;H302;Nocif en cas d'ingestion;
2160263;TEBUTEC;H318;Provoque des lésions oculaires graves;
2160263;TEBUTEC;H332;Nocif par inhalation;
2160263;TEBUTEC;H361d;Susceptible de nuire au foetus;
2160263;TEBUTEC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130066;OCEAL;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9400458;RAK 1 + 2 COCHYLIS + EUDEMIS 3 GENERATIONS;H315;Provoque une irritation cutanée;
9400458;RAK 1 + 2 COCHYLIS + EUDEMIS 3 GENERATIONS;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9800402;STORMING;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9800402;STORMING;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800402;STORMING;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2180265;DIVEXO;H317;Peut provoquer une allergie cutanée;
2180265;DIVEXO;H332;Nocif par inhalation;
2180265;DIVEXO;H335;Peut irriter les voies respiratoires;
2180265;DIVEXO;H351;Susceptible de provoquer le cancer;
2180265;DIVEXO;H400;Très toxique pour les organismes aquatiques;
2180265;DIVEXO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150200;DOJO;H317;Peut provoquer une allergie cutanée;
2150200;DOJO;H318;Provoque des lésions oculaires graves;
2150200;DOJO;H332;Nocif par inhalation;
2150200;DOJO;H335;Peut irriter les voies respiratoires;
2150200;DOJO;H351;Susceptible de provoquer le cancer;
2150200;DOJO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2040203;AIM 40WG;H400;Très toxique pour les organismes aquatiques;
2040203;AIM 40WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2040203;AIM 40WG;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090061;DICOPLUS PRO;H302;Nocif en cas d'ingestion;
2090061;DICOPLUS PRO;H317;Peut provoquer une allergie cutanée;
2090061;DICOPLUS PRO;H318;Provoque des lésions oculaires graves;
2090061;DICOPLUS PRO;H400;Très toxique pour les organismes aquatiques;
2090061;DICOPLUS PRO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2090061;DICOPLUS PRO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9800186;PLATFORM EXPRESS;H302;Nocif en cas d'ingestion;
9800186;PLATFORM EXPRESS;H317;Peut provoquer une allergie cutanée;
9800186;PLATFORM EXPRESS;H318;Provoque des lésions oculaires graves;
9800186;PLATFORM EXPRESS;H400;Très toxique pour les organismes aquatiques;
9800186;PLATFORM EXPRESS;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9800186;PLATFORM EXPRESS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9600528;PLATFORM S;H302;Nocif en cas d'ingestion;
9600528;PLATFORM S;H317;Peut provoquer une allergie cutanée;
9600528;PLATFORM S;H318;Provoque des lésions oculaires graves;
9600528;PLATFORM S;H400;Très toxique pour les organismes aquatiques;
9600528;PLATFORM S;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9600528;PLATFORM S;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090175;XOKKO SELECT WG;H302;Nocif en cas d'ingestion;
2090175;XOKKO SELECT WG;H317;Peut provoquer une allergie cutanée;
2090175;XOKKO SELECT WG;H318;Provoque des lésions oculaires graves;
2090175;XOKKO SELECT WG;H400;Très toxique pour les organismes aquatiques;
2090175;XOKKO SELECT WG;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2090175;XOKKO SELECT WG;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9800458;CLAXON;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9800458;CLAXON;H319;Provoque une sévère irritation des yeux;
9800458;CLAXON;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9800458;CLAXON;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
9800458;CLAXON;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
9800458;CLAXON;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9700396;SARI TF;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180474;VESUVE MAX;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2180474;VESUVE MAX;H315;Provoque une irritation cutanée;
2180474;VESUVE MAX;H317;Peut provoquer une allergie cutanée;
2180474;VESUVE MAX;H336;Peut provoquer somnolence ou des vertiges;
2180474;VESUVE MAX;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160174;IMPALA NEW JARDIN;H319;Provoque une sévère irritation des yeux;
2160174;IMPALA NEW JARDIN;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2120133;EVADE JARDIN;H317;Peut provoquer une allergie cutanée;
2120133;EVADE JARDIN;H400;Très toxique pour les organismes aquatiques;
2120133;EVADE JARDIN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190031;ORTIVA JARDIN;H400;Très toxique pour les organismes aquatiques;
2190031;ORTIVA JARDIN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190031;ORTIVA JARDIN;EUH208;Contient de la 1,2-benzisothiazol-3-(2H)-one. Peut produire une réaction allergique;
2171187;REVUS JARDIN;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2080063;FANTIC F WG;H317;Peut provoquer une allergie cutanée;
2080063;FANTIC F WG;H318;Provoque des lésions oculaires graves;
2080063;FANTIC F WG;H332;Nocif par inhalation;
2080063;FANTIC F WG;H351;Susceptible de provoquer le cancer;
2080063;FANTIC F WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800106;BRETTEUR;H400;Très toxique pour les organismes aquatiques;
9800106;BRETTEUR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800106;BRETTEUR;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100040;ABACUS SP;H302;Nocif en cas d'ingestion;
2100040;ABACUS SP;H315;Provoque une irritation cutanée;
2100040;ABACUS SP;H317;Peut provoquer une allergie cutanée;
2100040;ABACUS SP;H332;Nocif par inhalation;
2100040;ABACUS SP;H351;Susceptible de provoquer le cancer;
2100040;ABACUS SP;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2100040;ABACUS SP;H400;Très toxique pour les organismes aquatiques;
2100040;ABACUS SP;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110170;ADEXAR;H302;Nocif en cas d'ingestion;
2110170;ADEXAR;H317;Peut provoquer une allergie cutanée;
2110170;ADEXAR;H319;Provoque une sévère irritation des yeux;
2110170;ADEXAR;H351;Susceptible de provoquer le cancer;
2110170;ADEXAR;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2110170;ADEXAR;H400;Très toxique pour les organismes aquatiques;
2110170;ADEXAR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2020431;BAUXIT;H301;Toxique en cas d'ingestion;
2020431;BAUXIT;H302;Nocif en cas d'ingestion;
2020431;BAUXIT;H315;Provoque une irritation cutanée;
2020431;BAUXIT;H332;Nocif par inhalation;
2020431;BAUXIT;H351;Susceptible de provoquer le cancer;
2020431;BAUXIT;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2020431;BAUXIT;H400;Très toxique pour les organismes aquatiques;
2020431;BAUXIT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2060120;BELL;H318;Provoque des lésions oculaires graves;
2060120;BELL;H351;Susceptible de provoquer le cancer;
2060120;BELL;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2060120;BELL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2110194;BELL STAR;H318;Provoque des lésions oculaires graves;
2110194;BELL STAR;H332;Nocif par inhalation;
2110194;BELL STAR;H351;Susceptible de provoquer le cancer;
2110194;BELL STAR;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2110194;BELL STAR;H400;Très toxique pour les organismes aquatiques;
2110194;BELL STAR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090173;CAPALO;H315;Provoque une irritation cutanée;
2090173;CAPALO;H317;Peut provoquer une allergie cutanée;
2090173;CAPALO;H319;Provoque une sévère irritation des yeux;
2090173;CAPALO;H351;Susceptible de provoquer le cancer;
2090173;CAPALO;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2090173;CAPALO;H400;Très toxique pour les organismes aquatiques;
2090173;CAPALO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090172;CEANDO;H319;Provoque une sévère irritation des yeux;
2090172;CEANDO;H351;Susceptible de provoquer le cancer;
2090172;CEANDO;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2090172;CEANDO;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120205;CERIAX;H302;Nocif en cas d'ingestion;
2120205;CERIAX;H318;Provoque des lésions oculaires graves;
2120205;CERIAX;H332;Nocif par inhalation;
2120205;CERIAX;H351;Susceptible de provoquer le cancer;
2120205;CERIAX;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2120205;CERIAX;H400;Très toxique pour les organismes aquatiques;
2120205;CERIAX;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160965;ASTERIA;H302;Nocif en cas d'ingestion;
2160965;ASTERIA;H319;Provoque une sévère irritation des yeux;
2160965;ASTERIA;H332;Nocif par inhalation;
2160965;ASTERIA;H335;Peut irriter les voies respiratoires;
2160965;ASTERIA;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2160965;ASTERIA;H400;Très toxique pour les organismes aquatiques;
2160965;ASTERIA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120219;DEDICATE;H361d;Susceptible de nuire au foetus;
2120219;DEDICATE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120219;DEDICATE;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2120219;DEDICATE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090056;LAUDIS;H317;Peut provoquer une allergie cutanée;
2090056;LAUDIS;H361d;Susceptible de nuire au foetus;
2090056;LAUDIS;H400;Très toxique pour les organismes aquatiques;
2090056;LAUDIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190717;PENOIDIUM;H319;Provoque une sévère irritation des yeux;
2190717;PENOIDIUM;H361d;Susceptible de nuire au foetus;
2190717;PENOIDIUM;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9400352;BOUILLIE BORDELAISE VALLES 20 BLEUE;H400;Très toxique pour les organismes aquatiques;
9400352;BOUILLIE BORDELAISE VALLES 20 BLEUE;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9200359;BOUILLIE SOLAISE;H400;Très toxique pour les organismes aquatiques;
9200359;BOUILLIE SOLAISE;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9600386;ALIETTE EV;H319;Provoque une sévère irritation des yeux;
9600386;ALIETTE EV;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090164;BARCLAY GALLUP SUPER 360 JARDIN;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010340;MAGEOS JARDINS;H302;Nocif en cas d'ingestion;
2010340;MAGEOS JARDINS;H335;Peut irriter les voies respiratoires;
2010340;MAGEOS JARDINS;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2010340;MAGEOS JARDINS;H400;Très toxique pour les organismes aquatiques;
2010340;MAGEOS JARDINS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2159998;MASAI JARDINS;H302;Nocif en cas d'ingestion;
2159998;MASAI JARDINS;H332;Nocif par inhalation;
2159998;MASAI JARDINS;H335;Peut irriter les voies respiratoires;
2159998;MASAI JARDINS;H400;Très toxique pour les organismes aquatiques;
2159998;MASAI JARDINS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500148;POLYRAM JARDIN DF;H317;Peut provoquer une allergie cutanée;
9500148;POLYRAM JARDIN DF;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
9500148;POLYRAM JARDIN DF;H400;Très toxique pour les organismes aquatiques;
9500148;POLYRAM JARDIN DF;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2159993;BOTRYL JARDIN;H317;Peut provoquer une allergie cutanée;
2159993;BOTRYL JARDIN;H400;Très toxique pour les organismes aquatiques;
2159993;BOTRYL JARDIN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110174;PRAIXONE M JARDIN;H318;Provoque des lésions oculaires graves;
2110174;PRAIXONE M JARDIN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110174;PRAIXONE M JARDIN;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2030125;DECIS J;H226;Liquides et vapeurs inflammables;
2030125;DECIS J;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2030125;DECIS J;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2030125;DECIS J;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120213;DUOLYS;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2120213;DUOLYS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120063;INFINITO J;H317;Peut provoquer une allergie cutanée;
2120063;INFINITO J;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120063;INFINITO J;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2130183;PHYTOPAST V JARDIN;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130106;DESIMO DUO;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2130106;DESIMO DUO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2110159;POLYSOINS ULTRA;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2110159;POLYSOINS ULTRA;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
 2090141;BARBARIAN SUPER 360;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2100036;CHECKMATE CM-XL;H315;Provoque une irritation cutanée;
2100036;CHECKMATE CM-XL;H400;Très toxique pour les organismes aquatiques;
2160619;KLARTAN JARDIN;H400;Très toxique pour les organismes aquatiques;
2160619;KLARTAN JARDIN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130088;METAREX M TDS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2171307;RLG 390;H317;Peut provoquer une allergie cutanée;
2171307;RLG 390;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150626;ARCADIS SC;H319;Provoque une sévère irritation des yeux;
2150626;ARCADIS SC;H361d;Susceptible de nuire au foetus;
2150626;ARCADIS SC;H400;Très toxique pour les organismes aquatiques;
2150626;ARCADIS SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150626;ARCADIS SC;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2020429;IBEX;H301;Toxique en cas d'ingestion;
2020429;IBEX;H302;Nocif en cas d'ingestion;
2020429;IBEX;H315;Provoque une irritation cutanée;
2020429;IBEX;H332;Nocif par inhalation;
2020429;IBEX;H351;Susceptible de provoquer le cancer;
2020429;IBEX;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2020429;IBEX;H400;Très toxique pour les organismes aquatiques;
2020429;IBEX;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150853;MARACAS;H319;Provoque une sévère irritation des yeux;
2150853;MARACAS;H351;Susceptible de provoquer le cancer;
2150853;MARACAS;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2150853;MARACAS;H400;Très toxique pour les organismes aquatiques;
2150853;MARACAS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120207;MAREDO;H332;Nocif par inhalation;
2120207;MAREDO;H351;Susceptible de provoquer le cancer;
2120207;MAREDO;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2120207;MAREDO;H400;Très toxique pour les organismes aquatiques;
2120207;MAREDO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2120207;MAREDO;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2120207;MAREDO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9800326;MONNAIE;H332;Nocif par inhalation;
9800326;MONNAIE;H351;Susceptible de provoquer le cancer;
9800326;MONNAIE;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
9800326;MONNAIE;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2000333;OPERA;H301;Toxique en cas d'ingestion;
2000333;OPERA;H315;Provoque une irritation cutanée;
2000333;OPERA;H317;Peut provoquer une allergie cutanée;
2000333;OPERA;H332;Nocif par inhalation;
2000333;OPERA;H351;Susceptible de provoquer le cancer;
2000333;OPERA;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2000333;OPERA;H400;Très toxique pour les organismes aquatiques;
2000333;OPERA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9200018;OPUS;H315;Provoque une irritation cutanée;
9200018;OPUS;H332;Nocif par inhalation;
9200018;OPUS;H351;Susceptible de provoquer le cancer;
9200018;OPUS;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
9200018;OPUS;H400;Très toxique pour les organismes aquatiques;
9200018;OPUS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2100182;OPUS NEW;H315;Provoque une irritation cutanée;
2100182;OPUS NEW;H319;Provoque une sévère irritation des yeux;
2100182;OPUS NEW;H332;Nocif par inhalation;
2100182;OPUS NEW;H351;Susceptible de provoquer le cancer;
2100182;OPUS NEW;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2100182;OPUS NEW;H400;Très toxique pour les organismes aquatiques;
2100182;OPUS NEW;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9200020;OPUS TEAM;H317;Peut provoquer une allergie cutanée;
9200020;OPUS TEAM;H332;Nocif par inhalation;
9200020;OPUS TEAM;H351;Susceptible de provoquer le cancer;
9200020;OPUS TEAM;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
9200020;OPUS TEAM;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2140088;OSIRIS STAR;H319;Provoque une sévère irritation des yeux;
2140088;OSIRIS STAR;H351;Susceptible de provoquer le cancer;
2140088;OSIRIS STAR;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2140088;OSIRIS STAR;H400;Très toxique pour les organismes aquatiques;
2140088;OSIRIS STAR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090092;OSIRIS WIN;H317;Peut provoquer une allergie cutanée;
2090092;OSIRIS WIN;H351;Susceptible de provoquer le cancer;
2090092;OSIRIS WIN;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2090092;OSIRIS WIN;H400;Très toxique pour les organismes aquatiques;
2090092;OSIRIS WIN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120093;RUBRIC;H332;Nocif par inhalation;
2120093;RUBRIC;H351;Susceptible de provoquer le cancer;
2120093;RUBRIC;H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;
2120093;RUBRIC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120093;RUBRIC;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2120093;RUBRIC;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160757;RUBRIC XL;H302;Nocif en cas d'ingestion;
2160757;RUBRIC XL;H317;Peut provoquer une allergie cutanée;
2160757;RUBRIC XL;H332;Nocif par inhalation;
2160757;RUBRIC XL;H351;Susceptible de provoquer le cancer;
2160757;RUBRIC XL;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2160757;RUBRIC XL;H400;Très toxique pour les organismes aquatiques;
2160757;RUBRIC XL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090171;SWING GOLD;H302;Nocif en cas d'ingestion;
2090171;SWING GOLD;H317;Peut provoquer une allergie cutanée;
2090171;SWING GOLD;H332;Nocif par inhalation;
2090171;SWING GOLD;H351;Susceptible de provoquer le cancer;
2090171;SWING GOLD;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2090171;SWING GOLD;H400;Très toxique pour les organismes aquatiques;
2090171;SWING GOLD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090171;SWING GOLD;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
9200155;GOAL 2E;H226;Liquides et vapeurs inflammables;
9200155;GOAL 2E;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9200155;GOAL 2E;H315;Provoque une irritation cutanée;
9200155;GOAL 2E;H317;Peut provoquer une allergie cutanée;
9200155;GOAL 2E;H318;Provoque des lésions oculaires graves;
9200155;GOAL 2E;H335;Peut irriter les voies respiratoires;
9200155;GOAL 2E;H360D;Peut nuire au foetus;
9200155;GOAL 2E;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
9200155;GOAL 2E;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9200155;GOAL 2E;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2080010;OVIPRON PLUS;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2120060;REDOUTABLE;H351;Susceptible de provoquer le cancer;
2120060;REDOUTABLE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2000218;KERB FORESTIER LIQUIDE;H351;Susceptible de provoquer le cancer;
2000218;KERB FORESTIER LIQUIDE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130278;FEZAN PLUS;H332;Nocif par inhalation;
2130278;FEZAN PLUS;H351;Susceptible de provoquer le cancer;
2130278;FEZAN PLUS;H361d;Susceptible de nuire au foetus;
2130278;FEZAN PLUS;H400;Très toxique pour les organismes aquatiques;
2130278;FEZAN PLUS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900331;FOLIO GOLD;H315;Provoque une irritation cutanée;
9900331;FOLIO GOLD;H317;Peut provoquer une allergie cutanée;
9900331;FOLIO GOLD;H319;Provoque une sévère irritation des yeux;
9900331;FOLIO GOLD;H332;Nocif par inhalation;
9900331;FOLIO GOLD;H335;Peut irriter les voies respiratoires;
9900331;FOLIO GOLD;H351;Susceptible de provoquer le cancer;
9900331;FOLIO GOLD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900331;FOLIO GOLD;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
8300243;FONGIL FL;H315;Provoque une irritation cutanée;
8300243;FONGIL FL;H317;Peut provoquer une allergie cutanée;
8300243;FONGIL FL;H318;Provoque des lésions oculaires graves;
8300243;FONGIL FL;H332;Nocif par inhalation;
8300243;FONGIL FL;H335;Peut irriter les voies respiratoires;
8300243;FONGIL FL;H351;Susceptible de provoquer le cancer;
8300243;FONGIL FL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130256;LIFE SCIENTIFIC CHLOROTHALONIL;H317;Peut provoquer une allergie cutanée;
2130256;LIFE SCIENTIFIC CHLOROTHALONIL;H318;Provoque des lésions oculaires graves;
2130256;LIFE SCIENTIFIC CHLOROTHALONIL;H335;Peut irriter les voies respiratoires;
2130256;LIFE SCIENTIFIC CHLOROTHALONIL;H351;Susceptible de provoquer le cancer;
2130256;LIFE SCIENTIFIC CHLOROTHALONIL;H400;Très toxique pour les organismes aquatiques;
2130256;LIFE SCIENTIFIC CHLOROTHALONIL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9400389;MAORI;H317;Peut provoquer une allergie cutanée;
9400389;MAORI;H319;Provoque une sévère irritation des yeux;
9400389;MAORI;H335;Peut irriter les voies respiratoires;
9400389;MAORI;H351;Susceptible de provoquer le cancer;
9400389;MAORI;H400;Très toxique pour les organismes aquatiques;
9400389;MAORI;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500374;PUGIL 500;H315;Provoque une irritation cutanée;
9500374;PUGIL 500;H317;Peut provoquer une allergie cutanée;
9500374;PUGIL 500;H318;Provoque des lésions oculaires graves;
9500374;PUGIL 500;H332;Nocif par inhalation;
9500374;PUGIL 500;H335;Peut irriter les voies respiratoires;
9500374;PUGIL 500;H351;Susceptible de provoquer le cancer;
9500374;PUGIL 500;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500007;ROMENIL;H317;Peut provoquer une allergie cutanée;
9500007;ROMENIL;H319;Provoque une sévère irritation des yeux;
9500007;ROMENIL;H332;Nocif par inhalation;
9500007;ROMENIL;H335;Peut irriter les voies respiratoires;
9500007;ROMENIL;H351;Susceptible de provoquer le cancer;
9500007;ROMENIL;H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;
9500007;ROMENIL;H400;Très toxique pour les organismes aquatiques;
9500007;ROMENIL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180440;TREORIS;H317;Peut provoquer une allergie cutanée;
2180440;TREORIS;H332;Nocif par inhalation;
2180440;TREORIS;H335;Peut irriter les voies respiratoires;
2180440;TREORIS;H351;Susceptible de provoquer le cancer;
2180440;TREORIS;H400;Très toxique pour les organismes aquatiques;
2180440;TREORIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180440;TREORIS;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
9100482;VISCLOR 500 L;H315;Provoque une irritation cutanée;
9100482;VISCLOR 500 L;H317;Peut provoquer une allergie cutanée;
9100482;VISCLOR 500 L;H318;Provoque des lésions oculaires graves;
9100482;VISCLOR 500 L;H332;Nocif par inhalation;
9100482;VISCLOR 500 L;H335;Peut irriter les voies respiratoires;
9100482;VISCLOR 500 L;H351;Susceptible de provoquer le cancer;
9100482;VISCLOR 500 L;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9300557;WALABI;H317;Peut provoquer une allergie cutanée;
